id	sentiment_score	upvotes
jsid-post-a34Q28r	0.2023	19
jsid-post-avy8R5Z	0.7845	491
jsid-post-amoBMWV	0.9769	49
jsid-post-awyAdB8	0.9726	563
jsid-post-aBy0GdP	-0.5859	113
jsid-post-ajP8ZOq	0.8481	31
jsid-post-an79E7z	0.9911	35
jsid-post-ajP8Z1q	0.9702	46
jsid-post-azx9Req	0.9826	53
jsid-post-a9yK2WW	0.8591	324
jsid-post-aW4YbmA	0.9818	153
jsid-post-aNDY4AK	0.9628	233
jsid-post-azx9Rrx	-0.5994	80
jsid-post-a8732bO	0.9446	352
jsid-post-aryGq4V	0.9325	320
jsid-post-awyAdnx	0.9818	147
jsid-post-aAy32w0	0.7906	18
jsid-post-an79Eeb	0.7906	541
jsid-post-a34Q2vr	0.9001	483
jsid-post-avy8RLb	0.802	88
jsid-post-aMVZzRx	0.9337	395
jsid-post-avy8RrO	0.9337	18
jsid-post-aMVZz3x	0.946	203
jsid-post-aYQYM9V	0.3182	459
jsid-post-aryGxEd	0.8442	1500
jsid-post-a873eNp	0.9423	1800
jsid-post-aLngA55	0.5994	175
jsid-post-apRmx78	0.9485	144
jsid-post-ae9rxXQ	-0.0516	13
jsid-post-aPAYeXR	0.5859	421
jsid-post-aD21bXw	-0.9118	4600
jsid-post-aryGxZV	0.9081	1400
jsid-post-avy8xEb	0.3612	2400
jsid-post-an79xrq	0.0	775
jsid-post-amoBx6j	0.8834	447
jsid-post-aZZLEj0	0.9393	179
jsid-post-aMVZzWR	-0.9921	30
jsid-post-a4PQAzm	0.4215	321
jsid-post-a873eDO	0.9756	164
jsid-post-a873enV	-0.3612	45
jsid-post-aAy3MM9	0.9485	44
jsid-post-ayNB18q	0.7351	1800
jsid-post-aD21bjK	-0.34	3200
jsid-post-aMVZz4x	0.7579	178
jsid-post-aO8Y91N	0.8979	56
jsid-post-azx9Oxm	0.25	235
jsid-post-ajP8xB8	0.5574	22
jsid-post-amoBxzX	0.25	972
jsid-post-awyAOoQ	0.9382	156
jsid-post-a2vZDKp	0.0	30
jsid-post-aGyZGew	0.9531	288
jsid-post-awyAOM1	0.9738	35
jsid-post-adBLx0Z	0.5994	247
jsid-post-ajP8x6w	0.5994	291
jsid-post-a2vZD7D	0.1531	41
jsid-post-a2vZDEe	0.0	1100
jsid-post-aAy34o2	0.0	4600
jsid-post-a34Q8Ym	-0.886	189
jsid-post-aNDYBmb	0.9501	161
jsid-post-a7o3Vjb	0.8779	1600
jsid-post-aO8Y9KN	0.6705	538
jsid-post-aKGx8wb	0.6486	95
jsid-post-aD21ZyZ	0.0	1000
jsid-post-aryGZYp	0.0	1400
jsid-post-avy8E3X	-0.3818	231
jsid-post-aBy0P7A	0.9879	100
jsid-post-a9yK8GL	0.2023	1000
jsid-post-a5QMG3g	0.886	974
jsid-post-a873Dgd	0.0	1600
jsid-post-aVvYmpK	0.8689	179
jsid-post-apRmP7D	0.8402	2800
jsid-post-aKGxWQ3	0.6369	363
jsid-post-abAYx3O	0.4939	63
jsid-post-aD21ZLN	0.9042	2900
jsid-post-aBy0EK1	0.9022	31
jsid-post-aGyZMQ0	0.6597	460
jsid-post-aQzRAbe	0.8326	2900
jsid-post-adBLnrV	0.2023	2300
jsid-post-aQzRAW7	0.9705	148
jsid-post-aLngGN5	0.6908	1200
jsid-post-ae9rVwp	0.9316	486
jsid-post-abAYWd8	0.9805	2800
jsid-post-a7o3VAe	0.9477	9700
jsid-post-a4PQ5xw	0.9726	2800
jsid-post-a9yK8Vm	0.9118	874
jsid-post-aryGZd6	-0.7579	511
jsid-post-an79vmn	0.9905	33
jsid-post-agmn8EK	0.9896	3900
jsid-post-aVvYm8d	0.8834	82
jsid-post-a1mQ5BR	0.9382	248
jsid-post-aVvYmLy	0.9713	6000
jsid-post-avy8EEq	-0.9301	10000
jsid-post-abAYWRB	0.0	606
jsid-post-apRmPdW	0.0	97
jsid-post-a1mQ5L8	0.0	2500
jsid-post-avy8ERq	0.6486	2800
jsid-post-aqyKQdP	0.7184	101
jsid-post-a5QMGzV	-0.9545	1900
jsid-post-aE02ojG	0.0516	50
jsid-post-aYQYP1q	0.0	552
jsid-post-ayNBWQq	0.4141	40
jsid-post-aBy0Pvx	0.0	131
jsid-post-aKGxWLg	0.5859	139
jsid-post-an79vDo	0.9201	126
jsid-post-a1mQ5xv	0.9201	15
jsid-post-a2vZyyd	0.0	274
jsid-post-abAYW1O	0.93	3500
jsid-post-a5QMGwr	-0.0772	385
jsid-post-aE02oZo	0.9666	20
jsid-post-aZZLQwz	0.8271	296
jsid-post-aPAY8PQ	0.8316	320
jsid-post-aAy34MZ	0.9612	79
jsid-post-aAy34vd	0.0258	20
jsid-post-a0eQ64X	0.9607	593
jsid-post-aBy0PnA	0.4404	1200
jsid-post-ajP8BV8	0.0	807
jsid-post-aLngG1M	0.0	197
jsid-post-a1mQ5NG	0.0	28
jsid-post-aZZLQ7Q	-0.5106	461
jsid-post-aNDYVp0	0.9682	90
jsid-post-agmn8L1	0.8658	5500
jsid-post-a9yK81D	0.9552	26
jsid-post-aD21ZjN	0.9774	2100
jsid-post-aZZLQp9	0.9794	1800
jsid-post-avy8E7n	0.0	314
jsid-post-a2vZymZ	0.5267	1800
jsid-post-ayNBWdy	0.7184	667
jsid-post-aNDYVe3	-0.2732	1700
jsid-post-aVvYmzy	0.8126	1300
jsid-post-an79vbV	0.8658	101
jsid-post-aD21Zm7	-0.5106	176
jsid-post-a5QMwLV	-0.4939	1000
jsid-post-aoye4Z3	0.8402	25
jsid-post-apRm6WM	0.6249	1000
jsid-post-axyzbjD	0.9517	13
jsid-post-aKGxvMN	-0.872	2700
jsid-post-aoyeRXn	0.3818	366
jsid-post-ajP8LGG	0.9747	5700
jsid-post-aQzR7wW	0.91	49
jsid-post-aD218v9	0.8519	1300
jsid-post-aVvYKrK	0.9136	501
jsid-post-aYQYDdm	-0.9898	3500
jsid-post-aD218MB	0.9939	2600
jsid-post-a4PQN0p	0.9217	67
jsid-post-aGyZBbX	0.9607	2200
jsid-post-ae9rZWp	0.0	2600
jsid-post-a2vZ0pO	-0.7096	133
jsid-post-aYQYDn2	0.872	355
jsid-post-avy869M	-0.6597	556
jsid-post-aXPYVWb	0.8834	2400
jsid-post-agmn79n	0.4939	113
jsid-post-azx9KZz	-0.7579	527
jsid-post-aBy0VN2	0.9786	147
jsid-post-amoB6mv	0.9524	1700
jsid-post-aXPYVMV	0.9766	3300
jsid-post-a2vZ0yE	0.0772	592
jsid-post-ajP8LP0	-0.5267	1800
jsid-post-amoB6oy	0.9246	1600
jsid-post-aLng44A	0.9682	312
jsid-post-aRB1MOB	0.0	46
jsid-post-aW4Yn7x	0.5859	95
jsid-post-amoB6Wy	0.975	505
jsid-post-awyA1LR	0.9001	232
jsid-post-aMVZPYV	0.9303	4200
jsid-post-aBy0VLD	0.8402	150
jsid-post-aZZL83W	0.7845	1200
jsid-post-apRm6QE	0.9821	2300
jsid-post-aXPYVe2	0.0	104
jsid-post-ae9rZeW	0.9538	1200
jsid-post-ajP8LBR	-0.9313	49
jsid-post-an792Oo	0.3612	101
jsid-post-aryGXWK	0.9531	32
jsid-post-ae9rZrv	0.7906	1000
jsid-post-a1mQ0e6	0.9524	3000
jsid-post-aoyeRN0	0.9814	792
jsid-post-azx9KrZ	0.4767	839
jsid-post-aD2188G	0.7184	20
jsid-post-a5QMwMq	0.0	47
jsid-post-aQzR73q	0.6597	485
jsid-post-aGyZBx0	0.8807	1900
jsid-post-aD218jZ	0.296	236
jsid-post-ayNB6eY	0.9825	29
jsid-post-a4PQNY6	0.8885	610
jsid-post-aVvYKDK	0.9432	881
jsid-post-aBy0VKz	-0.866	3700
jsid-post-aAy3KrR	0.802	432
jsid-post-a9yK5RW	0.8271	45
jsid-post-a6ZO5L2	0.9274	315
jsid-post-a1mQ0XY	0.7506	77
jsid-post-aKGx90g	0.1531	992
jsid-post-abAY4ZE	0.8316	62
jsid-post-aXPYV0b	0.9246	126
jsid-post-adBLO3N	-0.0516	101
jsid-post-axyzvXL	0.9423	617
jsid-post-aO8Y4XE	0.9887	53
jsid-post-aYQYO80	0.9371	50
jsid-post-aNDYQev	0.9274	68
jsid-post-aQzRQrq	0.0	5200
jsid-post-a873mQY	0.7631	2600
jsid-post-a34QAeN	0.7096	1500
jsid-post-agmnO9v	0.9001	66
jsid-post-a9yKvw6	0.7964	146
jsid-post-an79nw5	0.7845	26
jsid-post-aAy3E7p	0.9117	137
jsid-post-aBy0LVz	0.765	2200
jsid-post-aQzRQOK	0.7269	414
jsid-post-aGyZ86K	0.8957	58
jsid-post-aVvYEBK	0.9916	137
jsid-post-apRmDDp	-0.4404	934
jsid-post-abAYO2E	0.8481	415
jsid-post-aZZLwZV	0.946	1900
jsid-post-a1mQD56	0.9118	160
jsid-post-aPAYP8B	0.9849	235
jsid-post-azx9P1N	0.9698	5200
jsid-post-a34QAQ7	0.8625	4200
jsid-post-aMVZmNG	0.0	79
jsid-post-aMVZmEP	0.0	211
jsid-post-aqyK8gZ	0.4588	1100
jsid-post-azx9PRb	0.802	73
jsid-post-aXPYNgV	0.2023	1100
jsid-post-adBLO99	-0.1531	2200
jsid-post-a6ZO9K9	0.0	186
jsid-post-a6ZO9VA	0.9442	612
jsid-post-aryGAMy	0.9698	257
jsid-post-ajP8ODx	0.9313	9400
jsid-post-aryGANB	-0.296	2600
jsid-post-ae9rOpv	0.0	2200
jsid-post-a7o3eVw	0.9682	48
jsid-post-a0eQVQQ	0.9638	60
jsid-post-ayNB4B8	0.7717	43
jsid-post-avy8eOE	0.9538	132
jsid-post-a2vZ8xO	0.836	42
jsid-post-aYQYOeO	-0.9633	420
jsid-post-aRB1ZPj	0.9287	1400
jsid-post-a1mQDKb	-0.875	176
jsid-post-axyzvZ1	-0.9559	3000
jsid-post-a6ZO9yL	0.9803	307
jsid-post-a6ZO9bA	0.9766	56
jsid-post-aBy06DQ	0.4404	1400
jsid-post-amoBGq9	0.3182	1500
jsid-post-aAy3Ego	0.9044	22
jsid-post-a5QMBPE	0.9726	31
jsid-post-avy813M	0.0	208
jsid-post-aryGA10	0.9371	30
jsid-post-aE0263G	0.9792	3500
jsid-post-aVvYo6v	0.8519	2300
jsid-post-aKGxAMg	0.9628	967
jsid-post-aGyZnW7	0.9432	329
jsid-post-a0eQXgq	0.9643	2500
jsid-post-amoB1e4	0.91	595
jsid-post-aBy06pz	0.6124	47
jsid-post-aD2165G	0.8555	679
jsid-post-a5QM6Ay	0.6705	1500
jsid-post-aE026mK	0.9805	377
jsid-post-amoB1Zv	0.8442	148
jsid-post-awyA398	0.7906	1700
jsid-post-aD216NO	0.9803	2700
jsid-post-an79R8E	0.8732	500
jsid-post-amoB1n6	0.8126	1400
jsid-post-an79RWE	0.1531	1500
jsid-post-aBy06jD	0.4404	108
jsid-post-an79RGq	0.9723	7600
jsid-post-aVvYoRO	-0.1027	2000
jsid-post-an79RdE	0.9815	2000
jsid-post-aVvYoBw	0.3818	1000
jsid-post-aAy36vp	0.941	1300
jsid-post-aryG3rK	0.8074	65
jsid-post-axyz3QM	0.9201	99
jsid-post-aZZL1Rz	0.91	1400
jsid-post-a0eQX1X	0.9595	1500
jsid-post-a34Q5p7	0.9753	86
jsid-post-aqyKXpZ	0.6124	89
jsid-post-azx9dRp	0.9674	960
jsid-post-ae9r1OQ	0.9001	780
jsid-post-aQzRv7K	0.0	1100
jsid-post-a6ZOXj8	-0.6705	37
jsid-post-ae9r14Q	0.9753	715
jsid-post-aGyZnz7	0.8225	3000
jsid-post-aoye3ye	0.3612	1400
jsid-post-aZZL1wX	0.0	90
jsid-post-a5QM6GE	0.8908	102
jsid-post-a7o3O0x	0.9761	55
jsid-post-a4PQ6PZ	0.9231	133
jsid-post-ae9r1gB	0.0	235
jsid-post-ayNB3qr	0.5267	81
jsid-post-ayNB3MX	0.9501	321
jsid-post-aE0268G	0.8689	70
jsid-post-aD216dN	0.0	59
jsid-post-aD216GO	0.3612	2600
jsid-post-a87364V	0.9618	4100
jsid-post-ajP81NR	0.765	589
jsid-post-a0eQX5q	0.0	731
jsid-post-aGyZnew	0.9756	402
jsid-post-a5QM6nL	0.8126	82
jsid-post-axyz30L	0.936	122
jsid-post-a7o3OZr	0.8885	108
jsid-post-aD216wd	-0.7351	1800
jsid-post-aryG3KK	0.7964	120
jsid-post-a2vZw5w	0.967	236
jsid-post-ajP81Xg	0.0	55
jsid-post-aRB14A7	0.2732	122
jsid-post-aXPYMbd	0.9413	633
jsid-post-awyA358	0.2684	39
jsid-post-avy81pO	-0.8316	617
jsid-post-ae9r1Nb	0.9153	178
jsid-post-ayNBqOp	0.128	649
jsid-post-aO8Y262	-0.1027	152
jsid-post-aZZLneX	0.9167	1200
jsid-post-abAYeob	0.0	4300
jsid-post-a34QGgQ	0.9643	1000
jsid-post-ajP87oQ	0.0	133
jsid-post-an79Opn	0.9806	93
jsid-post-aZZLn9W	0.9545	84
jsid-post-aW4Ypd2	0.9844	9300
jsid-post-aGyZLq7	0.0	1000
jsid-post-aRB1L9A	-0.9001	2200
jsid-post-ajP87Gp	0.128	280
jsid-post-a5QMV9o	0.25	641
jsid-post-apRm1jW	0.7351	754
jsid-post-aAy3Qjg	0.9118	123
jsid-post-aryGW70	0.7269	36
jsid-post-aYQYGBV	0.4588	90
jsid-post-aZZLnK9	0.6908	102
jsid-post-aQzRgKw	0.4939	125
jsid-post-aXPYL4D	0.9776	3900
jsid-post-a6ZODj9	0.9118	461
jsid-post-aAy3QMZ	0.5859	1400
jsid-post-aNDYLGA	0.891	122
jsid-post-aO8Y2E3	0.9454	29
jsid-post-ayNBqvq	-0.4588	344
jsid-post-aNDYL5G	0.9062	39
jsid-post-aPAYxrG	0.9769	223
jsid-post-amoBWdv	0.8979	75
jsid-post-aoyeWD3	0.926	95
jsid-post-aryGW6p	0.2023	12
jsid-post-an79O25	0.0	601
jsid-post-amoBWG2	0.9485	341
jsid-post-ae9r4DQ	0.9847	8000
jsid-post-aO8Y21r	0.994	85
jsid-post-a873AG3	0.9618	4700
jsid-post-ayNBqQ8	0.4588	46
jsid-post-aXPYLg6	-0.9744	1800
jsid-post-aryGW3B	0.6369	83
jsid-post-avy8WzW	0.1779	921
jsid-post-aBy0Zm2	0.9545	824
jsid-post-a9yKzvW	0.9786	80
jsid-post-a2vZMZp	0.967	665
jsid-post-ayNBqzV	-0.8689	24
jsid-post-a1mQ7DG	0.946	110
jsid-post-agmnQL1	0.9442	2000
jsid-post-aRB1L05	0.9906	370
jsid-post-a2vZM11	-0.7845	214
jsid-post-aW4YpLn	0.7783	107
jsid-post-awyAgAD	0.5574	338
jsid-post-a34QG13	0.6124	78
jsid-post-awyAgy4	0.0	40
jsid-post-aqyKRKR	-0.2505	35
jsid-post-aqyKRmj	-0.7184	2100
jsid-post-a2vZMN9	-0.9136	3000
jsid-post-a873Ajp	0.8591	352
jsid-post-aBy0ZRD	0.9792	1500
jsid-post-apRm1pp	0.8271	269
jsid-post-a5QMVro	0.9287	62
jsid-post-ajP87Nq	0.9788	27
jsid-post-aAy3QwL	0.9719	67
jsid-post-aAy3QBZ	0.9825	2200
jsid-post-a8737gO	0.0	4000
jsid-post-avy8y3E	-0.3182	374
jsid-post-aYQYQ8N	0.6705	651
jsid-post-azx957B	0.1779	219
jsid-post-aD2173G	0.9831	109
jsid-post-an79OeE	-0.9666	127
jsid-post-awyAg0y	0.9794	41
jsid-post-aGyZy3Z	0.9565	126
jsid-post-an797A5	0.0	139
jsid-post-aPAYxvG	0.9451	36
jsid-post-a873ALV	0.9888	74
jsid-post-aryGyD0	0.891	2400
jsid-post-aqyKydR	0.9651	3400
jsid-post-awyAyjB	0.6908	612
jsid-post-a9yKyeD	0.4588	727
jsid-post-apRmR7E	-0.2263	301
jsid-post-aKGxGy3	0.0	154
jsid-post-a8737VQ	0.9761	576
jsid-post-ae9r9mm	0.4939	2000
jsid-post-ajP8PM1	0.9559	514
jsid-post-aryGyEp	0.3182	72
jsid-post-a34Q4X1	0.7964	37
jsid-post-aBy0yGx	0.6597	603
jsid-post-a1mQmLR	0.9313	247
jsid-post-avy8yE5	0.9578	622
jsid-post-ajP8PLg	0.9287	1200
jsid-post-abAYAxB	0.8481	694
jsid-post-a5QMQ6V	0.9062	2000
jsid-post-azx9xQz	0.9501	122
jsid-post-abAYA4r	0.6705	507
jsid-post-apRmRx8	0.8779	42
jsid-post-aqyKyXZ	-0.4767	1100
jsid-post-aE020qN	0.9686	1200
jsid-post-aE020Vx	0.9698	171
jsid-post-aqyKyGM	0.9638	2000
jsid-post-a9yKy6Z	0.7717	295
jsid-post-agmnm8W	0.9729	121
jsid-post-a4PQPny	0.8555	65
jsid-post-aXPYP2b	0.7906	108
jsid-post-aLngnL6	0.4588	232
jsid-post-aVvYvv2	0.0	493
jsid-post-agmnmmv	0.9686	229
jsid-post-amoBoGX	0.0516	67
jsid-post-avy8yWq	0.9517	260
jsid-post-amoBov2	0.9837	2300
jsid-post-an797vB	0.9595	42
jsid-post-aoyeygn	0.9764	234
jsid-post-aO8Y802	0.9805	495
jsid-post-aBy0yWO	0.8316	1900
jsid-post-aNDYDY4	0.9601	254
jsid-post-aE020B9	-0.8402	137
jsid-post-azx9xex	0.9509	21
jsid-post-aMVZVZG	0.0516	82
jsid-post-aYQYQpV	0.9799	1500
jsid-post-a0eQeYO	-0.4939	681
jsid-post-a7o3oZ2	0.9552	352
jsid-post-aE0201G	-0.8689	796
jsid-post-aMVZVr1	0.6602	175
jsid-post-a4PQoM1	0.9584	3200
jsid-post-aNDYDZv	0.9828	44
jsid-post-amoBADv	-0.7717	843
jsid-post-aryGy16	0.886	605
jsid-post-awyAyK1	0.9661	52
jsid-post-aMVZVb1	0.8979	61
jsid-post-a2vZKn9	0.0772	2600
jsid-post-axyzoLM	0.0	4800
jsid-post-a8737W6	0.9403	50
jsid-post-aO8YxwD	0.891	297
jsid-post-an79zw5	0.9506	2200
jsid-post-a34QZgm	0.5423	3300
jsid-post-amoBAey	0.9287	141
jsid-post-an79zmE	0.875	243
jsid-post-an79z6o	0.6715	34
jsid-post-aqyKePZ	0.8481	29
jsid-post-a1mQPnG	-0.1037	1600
jsid-post-apRm9nb	0.8402	955
jsid-post-aAy30jo	0.6369	18
jsid-post-aKGxE5j	-0.5267	110
jsid-post-aPAYg0R	0.981	277
jsid-post-azx92BZ	0.9403	1900
jsid-post-ayNB2rb	0.8442	35
jsid-post-aD21YOx	0.0	670
jsid-post-an79zvV	0.836	6000
jsid-post-aVvYbLn	0.946	244
jsid-post-aKGxE8Q	0.0	407
jsid-post-aD21Y8N	0.8519	540
jsid-post-adBLPoj	0.6486	89
jsid-post-aE02qoG	0.8934	591
jsid-post-aW4YGDd	0.34	190
jsid-post-aLng1L5	0.2023	5500
jsid-post-a4PQo6w	0.9836	1900
jsid-post-a873qK3	0.8074	140
jsid-post-a2vZKvE	0.25	430
jsid-post-azx92eN	0.9403	2200
jsid-post-a6ZOq9m	0.7003	203
jsid-post-aBy0dyx	-0.8862	189
jsid-post-aYQYVy7	0.296	115
jsid-post-aKGxExj	0.0	555
jsid-post-a9yKqA6	0.967	1000
jsid-post-a7o3q3z	0.9062	205
jsid-post-a1mQPRD	0.5994	96
jsid-post-a5QMXRV	0.5574	88
jsid-post-ayNB28M	0.8074	1500
jsid-post-adBLP5Q	0.8316	68
jsid-post-amoBA8d	0.9726	965
jsid-post-a34QZj1	0.0258	1100
jsid-post-a5QMXEy	0.7964	135
jsid-post-aNDYw1K	-0.2263	59
jsid-post-aoyeKZw	0.8689	868
jsid-post-aqyKerQ	0.9889	69
jsid-post-an79zYb	0.4019	255
jsid-post-aW4YgK6	0.8481	3400
jsid-post-ayNB2dM	0.9517	107
jsid-post-a9yKqPD	0.9818	200
jsid-post-an79gpL	0.9532	1400
jsid-post-aKGxEP1	0.9442	66
jsid-post-azx9epq	0.3862	3600
jsid-post-agmnoVx	0.9744	44
jsid-post-aKGxEqN	-0.9001	54
jsid-post-azx9enz	0.9118	1300
jsid-post-aO8YQ5E	0.8957	4400
jsid-post-ayNB9KV	0.8555	972
jsid-post-a34Q16v	0.9313	707
jsid-post-a4PQ1MZ	0.9753	56
jsid-post-ajP8gbq	0.8519	142
jsid-post-avy8AXq	0.0	2600
jsid-post-aVvYxnd	0.9892	42
jsid-post-aD21D5G	0.1027	128
jsid-post-aZZLrdz	0.836	410
jsid-post-axyzBXW	0.0	187
jsid-post-aW4Yg52	0.9729	56
jsid-post-aryGn9K	0.0	250
jsid-post-avy8Axb	0.1027	1300
jsid-post-aO8YQpN	0.0	173
jsid-post-aBy0noZ	0.7845	146
jsid-post-aXPYr3V	0.872	49
jsid-post-aNDYPqK	-0.0516	616
jsid-post-ajP8gOG	0.0	487
jsid-post-aD21DNd	0.0	81
jsid-post-aKGxmOb	0.9524	249
jsid-post-apRmgDn	0.4215	542
jsid-post-aQzRXZq	0.9712	80
jsid-post-aQzRX2q	0.9382	74
jsid-post-aZZLr7V	0.8718	1000
jsid-post-amoBg7v	0.4939	7800
jsid-post-aRB1rXA	0.9403	343
jsid-post-aAy3GgE	-0.5106	4100
jsid-post-a9yK1Rm	0.9571	2400
jsid-post-aW4YgE3	0.969	786
jsid-post-aVvYx0v	0.0	562
jsid-post-ae9rgDm	0.9531	570
jsid-post-apRmgPE	0.0	69
jsid-post-an79gQV	-0.9908	293
jsid-post-aoyeg5A	0.6124	231
jsid-post-aVvYxe2	0.0	8000
jsid-post-a34Q1q5	0.9509	1000
jsid-post-ae9rgM5	0.8979	383
jsid-post-aoyegjn	0.875	13000
jsid-post-ajP8g5p	0.967	381
jsid-post-aVvYxDy	0.9796	608
jsid-post-aqyKG1j	0.9805	528
jsid-post-aQzRX1r	0.0	93
jsid-post-a5QM1ZV	0.7579	395
jsid-post-agmngGg	0.0	1200
jsid-post-aRB1rj2	0.9883	1000
jsid-post-azx9ebj	0.8271	3900
jsid-post-aD21DA9	0.9325	682
jsid-post-a9yK1YZ	0.9607	308
jsid-post-aBy0nK1	0.9423	2500
jsid-post-a8731M1	0.9698	151
jsid-post-aNDYPnK	0.7184	278
jsid-post-aD21DjK	0.9349	626
jsid-post-apRmg0M	0.9851	179
jsid-post-aYQYrbv	0.836	489
jsid-post-a0eQ7Ad	0.743	350
jsid-post-aVvY7NK	-0.8834	6300
jsid-post-aKGxmBj	0.7579	81
jsid-post-abAYg5O	-0.5719	131
jsid-post-aO8YQyN	0.0	82
jsid-post-adBL8w2	0.9805	16000
jsid-post-a9yKEo1	0.6908	931
jsid-post-aZZLrP0	-0.4404	58
jsid-post-a34QEgQ	0.9794	17000
jsid-post-ae9rAnp	0.836	256
jsid-post-a7o3Exw	0.9169	2100
jsid-post-a2vZ7nY	0.9498	43
jsid-post-ajP8mpG	0.9854	204
jsid-post-aqyKj0p	-0.0777	218
jsid-post-axyzM8D	0.9661	1400
jsid-post-aVvY7yn	0.5994	120
jsid-post-a0eQ7GL	-0.9578	422
jsid-post-a6ZOEem	0.8979	3900
jsid-post-apRmN7p	0.9702	1200
jsid-post-aNDYpXA	0.9648	745
jsid-post-a4PQEem	0.926	27
jsid-post-aYQYo5V	0.9565	267
jsid-post-agmnBbq	0.5233	582
jsid-post-apRmNd8	0.8271	3400
jsid-post-aZZL0eQ	0.9382	89
jsid-post-aPAY3qB	0.9349	103
jsid-post-aYQYovw	-0.2263	110
jsid-post-aD21dLN	0.7783	166
jsid-post-a2vZ7gD	0.4404	25
jsid-post-a873EOQ	0.8481	73
jsid-post-amoBPMy	0.5859	5100
jsid-post-an79Qro	0.9709	499
jsid-post-a6ZOE89	0.9246	169
jsid-post-ae9rAd5	-0.9933	136
jsid-post-abAYVdB	-0.9559	124
jsid-post-a873E2V	0.4939	743
jsid-post-ae9rAxO	0.8658	4300
jsid-post-aGyZp6z	0.8074	32
jsid-post-amoBPVy	0.9666	85
jsid-post-aLngprg	0.7096	65
